Title,Bedrooms,Bathrooms,Prices
2 Bed Apartment with Parking in Ruaka,2,0,"KSh 30,000"
1 Bed Apartment with Lift in Ruaka,1,2,"KSh 28,000"
Serviced Studio Apartment with En Suite at Ruaka - Banana Road,1,1,"KSh 11,000"
2 Bed Apartment with En Suite in Ruaka,2,2,"KSh 35,000"
2 Bed Apartment with En Suite in Ruaka,2,3,"KSh 33,000"
2 Bed Apartment with En Suite at Limuru Road - Ruaka,2,2,"KSh 45,000"
2 Bed Apartment with En Suite in Ruaka,2,0,"KSh 45,000"
Serviced 1 Bed Apartment with Parking in Ruaka,1,1,"KSh 15,000"
2 Bed Apartment with En Suite in Ruaka,2,3,"KSh 35,000"
3 Bed Apartment in Ruaka,3,2,"KSh 50,000"
2 Bed Apartment with En Suite in Ruaka,2,2,"KSh 28,000"
Furnished 2 Bed Apartment with En Suite in Ruaka,2,2,"KSh 100,000"
2 Bed Apartment in Ruaka,2,2,"KSh 40,000"
3 Bed Apartment in Ruaka,3,2,"KSh 65,000"
2 Bed Apartment with En Suite in Ruaka,2,2,"KSh 45,000"
Serviced 2 Bed Apartment with En Suite at Two Rivers,2,2,"KSh 170,000"
2 Bed Apartment with En Suite at Limuru Road,2,2,"KSh 40,000"
1 Bed Apartment with Parking in Ruaka,1,1,"KSh 25,000"
2 Bed Apartment in Ruaka,2,2,"KSh 50,000"
2 Bed Apartment with En Suite in Ruaka,2,3,"KSh 200,000"
2 Bed Apartment with Parking in Ruaka,2,0,"KSh 30,000"
3 Bed Apartment with En Suite in Ruaka,3,2,"KSh 40,000"
1 Bed Apartment with Parking in Ruaka,1,2,"KSh 25,000"
1 Bed Apartment with Parking in Ruaka,1,2,"KSh 25,000"
Serviced Studio Apartment with Backup Generator at Limuru Road,1,1,"KSh 85,000"
2 Bed Apartment with En Suite at Joyland - Ruaka,2,2,"KSh 40,000"
