Title,Bedrooms,Bathrooms,Prices
3 Bed Apartment with En Suite at Peponi Rd,3,3,"KSh 350,000"
Furnished 1 Bed Apartment with Swimming Pool at Westlands Road,1,1,"KSh 170,000"
2 Bed Apartment with En Suite in Brookside,2,3,"KSh 95,000"
Furnished 2 Bed Apartment with En Suite in Westlands Area,2,2,"KSh 260,000"
4 Bed Apartment with En Suite in Riverside,4,3,"KSh 170,000"
4 Bed Apartment with En Suite at General Mathenge,4,4,"KSh 200,000"
4 Bed Apartment with En Suite in Brookside,4,4,"KSh 140,000"
Furnished 3 Bed Apartment with En Suite at Sandalwood,3,3,"KSh 180,000"
Furnished 3 Bed Apartment with En Suite at City Park Drive,3,3,"KSh 300,000"
Serviced 2 Bed Apartment with En Suite in Rosslyn,2,2,"KSh 182,000"
3 Bed Apartment with En Suite in Westlands Area,3,2,"KSh 90,000"
Furnished 3 Bed Apartment with En Suite at General Mathenge,3,3,"KSh 260,000"
Furnished 2 Bed Apartment with En Suite at Brookside Drive,2,2,"KSh 230,000"
Serviced 1 Bed Apartment with En Suite in Riverside,1,1,"KSh 150,000"
2 Bed Apartment with En Suite at Rhapta Rd,2,2,"KSh 160,000"
5 Bed Apartment with En Suite at Westlands,5,5,"KSh 330,000"
Serviced 2 Bed Apartment with En Suite in Rhapta Road,2,2,"KSh 200,000"
Serviced 4 Bed Apartment with En Suite in Spring Valley,4,4,"KSh 420,000"
Serviced 2 Bed Apartment with En Suite at General Mathenge Road,2,2,"KSh 350,000"
2 Bed Apartment with En Suite at Off Redhill Road,2,3,"KSh 160,000"
2 Bed Apartment with En Suite in Kitisuru,2,2,"KSh 75,000"
Serviced 2 Bed Apartment with En Suite in Westlands Area,2,3,"KSh 220,000"
Serviced 1 Bed Apartment with En Suite in Rhapta Road,1,1,"KSh 160,000"
3 Bed Apartment with En Suite at City Park Drive,3,0,"KSh 250,000"
3 Bed Apartment with Backup Generator in Rhapta Road,3,3,"KSh 120,000"
Serviced 3 Bed Apartment with En Suite in Westlands Area,3,3,"KSh 260,000"
