Title,Bedrooms,Bathrooms,Prices
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 85,000"
3 Bed Apartment with En Suite in Kileleshwa,3,2,"KSh 85,000"
Serviced 2 Bed Apartment with En Suite in Kileleshwa,2,3,"KSh 200,000"
Furnished 2 Bed Apartment with En Suite at,2,2,"KSh 250,000"
Furnished 2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 220,000"
Furnished 3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 200,000"
3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 110,000"
2 Bed Apartment with En Suite at Laikipia Road,2,2,"KSh 150,000"
3 Bed Apartment with En Suite at Kileleshwa,3,4,"KSh 130,000"
4 Bed Apartment with En Suite at Kileleshwa,4,5,"KSh 240,000"
Furnished 2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 220,000"
2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 60,000"
2 Bed Apartment with En Suite in Kileleshwa,2,3,"KSh 120,000"
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 75,000"
Serviced 3 Bed Apartment with En Suite at Kileleshwa,3,2,Price not communicated
Serviced Studio Apartment with En Suite at Othaya Road,Title not found for this link,1,"KSh 90,000"
3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 140,000"
Serviced 3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 280,000"
3 Bed Apartment with En Suite in Kileleshwa,3,2,"KSh 125,000"
3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 130,000"
Serviced 2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 140,000"
4 Bed Apartment with En Suite at Kileleshwa,4,5,"KSh 150,000"
Serviced Studio Apartment with En Suite in Kileleshwa,Title not found for this link,1,"KSh 4,500"
3 Bed Apartment with En Suite at Kileleshwa,3,3,"KSh 90,000"
Serviced 1 Bed Apartment with En Suite at Kangundo Road,1,2,"KSh 6,500"
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 120,000"
3 Bed Apartment with En Suite at Kileleshwa,3,2,"KSh 90,000"
4 Bed Apartment with En Suite at Kileleshwa,4,3,"KSh 85,000"
3 Bed Apartment with En Suite in Kileleshwa,3,2,"KSh 160,000"
2 Bed Apartment with Parking in Kileleshwa,2,1,"KSh 55,000"
2 Bed Apartment with En Suite in Kileleshwa,2,3,"KSh 85,000"
3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 85,000"
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 140,000"
2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 115,000"
3 Bed Apartment with En Suite at Othaya Road,3,4,"KSh 130,000"
Furnished 3 Bed Apartment with En Suite in Kileleshwa,3,0,"KSh 180,000"
2 Bed Apartment with En Suite at Kileleshwa,2,2,"KSh 75,000"
3 Bed Apartment with En Suite at Kileleshwa Area,3,4,"KSh 220,000"
Serviced 1 Bed Apartment with En Suite in Kileleshwa,1,1,"KSh 100,000"
4 Bed Apartment with En Suite in Kileleshwa,4,4,"KSh 140,000"
4 Bed Apartment with En Suite at Kileleshwa,4,4,"KSh 350,000"
3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 80,000"
4 Bed Apartment with En Suite at Kileleshwa,4,4,"KSh 145,000"
Serviced 3 Bed Apartment with En Suite at Kileleshwa,3,4,Price not communicated
2 Bed Apartment with En Suite in Kileleshwa,2,2,"KSh 110,000"
Serviced 3 Bed Apartment with En Suite in Kileleshwa,3,3,"KSh 150,000"
3 Bed Apartment with En Suite in Kileleshwa,3,4,"KSh 120,000"
