Title,Bedrooms,Bathrooms,Prices
Serviced 1 Bed Apartment with En Suite in Kilimani,1,2,"KSh 130,000"
3 Bed Apartment with Swimming Pool in Kilimani,3,3,"KSh 105,000"
Serviced 3 Bed Apartment with En Suite at Walk To Yaya Center,3,2,"KSh 120,000"
Furnished 3 Bed Apartment with Swimming Pool in Kilimani,3,2,"KSh 100,000"
Furnished 1 Bed Apartment with En Suite at Kilimani,1,2,"KSh 150,000"
Serviced 2 Bed Apartment with En Suite at Kindaruma Road,2,2,"KSh 150,000"
3 Bed Apartment with En Suite at Dennis Pritt,3,3,"KSh 189,000"
4 Bed Apartment with En Suite in Kilimani,4,4,"KSh 110,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 130,000"
3 Bed Apartment with En Suite at Kilimani,3,2,"KSh 75,000"
Furnished 2 Bed Apartment with En Suite in Kilimani,2,3,"KSh 170,000"
2 Bed Apartment with Parking in Kilimani,2,0,"KSh 70,000"
2 Bed Apartment with Gym in Kilimani,2,3,"KSh 120,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 75,000"
Furnished 3 Bed Apartment with En Suite at Wood Avenue,3,3,"KSh 260,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 150,000"
Serviced 3 Bed Apartment with En Suite at Kilimani,3,3,Price not communicated
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 95,000"
2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 80,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 100,000"
Serviced 3 Bed Apartment with Swimming Pool at State House Avenue,3,1,"KSh 120,000"
3 Bed Apartment with En Suite at Muringa Road,3,4,"KSh 150,000"
3 Bed Apartment with Swimming Pool at Yaya Centre,3,3,"KSh 130,000"
3 Bed Apartment with En Suite at Kilimani,3,2,"KSh 85,000"
Furnished 3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 220,000"
Serviced 2 Bed Apartment with En Suite at Dennis Prit Road,2,2,"KSh 120,000"
1 Bed Apartment with En Suite at Kilimani,1,1,"KSh 45,000"
2 Bed Apartment with En Suite at Lavington,2,2,"KSh 150,000"
5 Bed Apartment with En Suite in Kilimani,5,5,"KSh 300,000"
1 Bed Apartment with En Suite at Wood Avenue,1,2,"KSh 60,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 150,000"
Serviced 3 Bed Apartment with En Suite at Denis Pritt,3,4,"KSh 330,000"
2 Bed Apartment in Kilimani,2,0,"KSh 220,000"
3 Bed Apartment with En Suite in Kilimani,3,4,"KSh 110,000"
Serviced 1 Bed Apartment with En Suite at Walk To Yaya Center,1,1,"KSh 150,000"
Serviced 3 Bed Apartment with En Suite at Hurlingham,3,2,"KSh 120,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 140,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 100,000"
Furnished 3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 250,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 150,000"
Furnished 1 Bed Apartment with En Suite in Kilimani,1,1,"KSh 130,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 250,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 160,000"
3 Bed Apartment with En Suite at Kilimani,3,2,"KSh 90,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 10,000"
4 Bed Apartment with En Suite in Kilimani,4,4,"KSh 240,000"
Serviced 2 Bed Apartment with En Suite at Kindaruma Road.,2,2,"KSh 9,000"
3 Bed Apartment with Swimming Pool in Kilimani,3,3,"KSh 150,000"
Serviced 2 Bed Apartment with En Suite in Kilimani,2,2,"KSh 180,000"
3 Bed Apartment with Swimming Pool in Kilimani,3,2,"KSh 130,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 65,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 180,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 95,000"
Serviced 2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 180,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 189,000"
3 Bed Apartment with En Suite at Adams Arcade,3,3,"KSh 85,000"
3 Bed Apartment with En Suite in Kilimani,3,3,"KSh 115,000"
Serviced 2 Bed Apartment with En Suite at Walk To Yaya,2,1,"KSh 5,000"
Serviced 3 Bed Apartment with En Suite at Rosewood,3,4,"KSh 140,000"
2 Bed Apartment with En Suite at Kilimani,2,2,"KSh 65,000"
3 Bed Apartment with En Suite at Kilimani,3,2,"KSh 120,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 100,000"
Serviced 2 Bed Apartment at Milimani,2,0,"KSh 130,000"
Serviced 1 Bed Apartment with En Suite in Kilimani,1,1,"KSh 120,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 100,000"
3 Bed Apartment with En Suite at Kilimani,3,3,"KSh 80,000"
